businessID,anomalyFlag,riskScore,defaultProbability
SME_00001,1,25.41,0.2541
SME_00002,1,8.33,0.08330000000000004
SME_00003,0,52.52,0.5252
SME_00004,0,34.64,0.34640000000000004
SME_00005,0,20.11,0.20109999999999995
SME_00006,0,21.28,0.2128
SME_00007,0,25.4,0.254
SME_00008,0,22.81,0.22809999999999997
SME_00009,0,51.74,0.5174000000000001
SME_00010,0,38.27,0.38270000000000004
SME_00011,0,33.17,0.3317
SME_00012,0,40.07,0.40069999999999995
SME_00013,1,58.61,0.5861000000000001
SME_00014,0,6.58,0.06579999999999997
SME_00015,0,38.05,0.38049999999999995
SME_00016,0,39.1,0.391
SME_00017,0,29.96,0.2996
SME_00018,0,57.18,0.5718
SME_00019,0,20.93,0.20930000000000004
SME_00020,0,30.34,0.3034
SME_00021,1,20.61,0.20609999999999995
SME_00022,1,70.44,0.7044
SME_00023,1,13.03,0.13029999999999997
SME_00024,0,66.26,0.6626000000000001
SME_00025,0,19.48,0.19479999999999997
SME_00026,1,43.46,0.4346
SME_00027,0,53.43,0.5343
SME_00028,1,64.36,0.6436
SME_00029,0,48.57,0.4857
SME_00030,0,20.7,0.20699999999999996
SME_00031,1,25.82,0.2582
SME_00032,0,27.2,0.272
SME_00033,1,69.22,0.6921999999999999
SME_00034,1,30.63,0.3063
SME_00035,1,49.4,0.494
SME_00036,0,21.85,0.21850000000000003
SME_00037,0,28.2,0.28200000000000003
SME_00038,0,28.18,0.28180000000000005
SME_00039,0,48.7,0.487
SME_00040,0,33.31,0.33309999999999995
SME_00041,1,38.94,0.38939999999999997
SME_00042,1,41.0,0.41000000000000003
SME_00043,0,26.33,0.2633
SME_00044,0,65.72,0.6572
SME_00045,1,11.57,0.11570000000000003
SME_00046,1,9.93,0.09930000000000005
SME_00047,0,53.07,0.5307
SME_00048,0,58.14,0.5813999999999999
SME_00049,0,18.74,0.1874
SME_00050,0,19.35,0.1935
SME_00051,0,64.6,0.646
SME_00052,0,27.02,0.2702
SME_00053,0,31.14,0.3114
SME_00054,0,31.5,0.31499999999999995
SME_00055,0,45.85,0.4585
SME_00056,0,11.54,0.11539999999999995
SME_00057,0,62.39,0.6239
SME_00058,0,53.06,0.5306
SME_00059,0,55.26,0.5526
SME_00060,0,18.15,0.1815
SME_00061,0,27.82,0.2782
SME_00062,0,43.26,0.4326
SME_00063,0,19.65,0.1965
SME_00064,1,23.83,0.23829999999999996
SME_00065,0,42.89,0.42889999999999995
SME_00066,0,32.02,0.32020000000000004
SME_00067,0,42.32,0.4232
SME_00068,0,63.14,0.6314
SME_00069,0,22.68,0.2268
SME_00070,1,63.29,0.6329
SME_00071,0,30.94,0.3094
SME_00072,0,38.27,0.38270000000000004
SME_00073,0,33.41,0.33409999999999995
SME_00074,0,58.11,0.5811
SME_00075,0,23.83,0.23829999999999996
SME_00076,0,46.14,0.46140000000000003
SME_00077,0,13.56,0.13560000000000005
SME_00078,0,25.62,0.2562
SME_00079,1,72.91,0.7291000000000001
SME_00080,0,22.36,0.22360000000000002
SME_00081,0,26.16,0.26160000000000005
SME_00082,0,52.99,0.5299
SME_00083,0,19.96,0.1996
SME_00084,0,20.28,0.20279999999999998
SME_00085,0,30.6,0.30600000000000005
SME_00086,0,35.64,0.35640000000000005
SME_00087,0,22.42,0.22419999999999995
SME_00088,0,31.73,0.3173
SME_00089,0,25.41,0.2541
SME_00090,0,27.45,0.27449999999999997
SME_00091,0,24.1,0.241
SME_00092,0,48.4,0.484
SME_00093,1,26.9,0.269
SME_00094,0,54.18,0.5418000000000001
SME_00095,0,16.94,0.1694
SME_00096,1,36.57,0.3657
SME_00097,0,52.51,0.5251
SME_00098,0,41.65,0.4165
SME_00099,0,42.53,0.4253
SME_00100,0,40.28,0.40280000000000005
SME_00101,0,48.31,0.4831
SME_00102,0,41.18,0.41180000000000005
SME_00103,0,45.26,0.4526
SME_00104,0,43.88,0.43879999999999997
SME_00105,0,31.88,0.3188
SME_00106,0,34.03,0.34030000000000005
SME_00107,0,24.88,0.24880000000000002
SME_00108,0,39.42,0.3942
SME_00109,0,28.47,0.28469999999999995
SME_00110,1,24.48,0.24480000000000002
SME_00111,0,49.24,0.49239999999999995
SME_00112,1,18.59,0.18589999999999995
SME_00113,0,50.75,0.5075000000000001
SME_00114,0,23.82,0.23819999999999997
SME_00115,0,49.84,0.49839999999999995
SME_00116,0,30.32,0.3032
SME_00117,0,50.28,0.5028
SME_00118,0,24.02,0.24019999999999997
SME_00119,0,64.21,0.6421
SME_00120,1,16.97,0.16969999999999996
SME_00121,0,48.18,0.4818
SME_00122,0,26.21,0.2621
SME_00123,0,8.98,0.08979999999999999
SME_00124,0,26.82,0.2682
SME_00125,0,30.85,0.3085
SME_00126,0,57.67,0.5767
SME_00127,1,63.34,0.6334
SME_00128,0,37.14,0.37139999999999995
SME_00129,0,33.39,0.3339
SME_00130,0,21.2,0.21199999999999997
SME_00131,0,50.2,0.502
SME_00132,0,46.71,0.46709999999999996
SME_00133,0,56.99,0.5699000000000001
SME_00134,0,41.6,0.41600000000000004
SME_00135,1,59.48,0.5948
SME_00136,0,26.69,0.2669
SME_00137,0,25.3,0.253
SME_00138,0,24.53,0.24529999999999996
SME_00139,1,9.53,0.09530000000000005
SME_00140,1,49.13,0.49129999999999996
SME_00141,1,47.32,0.47319999999999995
SME_00142,0,50.96,0.5096
SME_00143,1,70.98,0.7098
SME_00144,0,23.39,0.2339
SME_00145,1,63.77,0.6376999999999999
SME_00146,0,21.81,0.21809999999999996
SME_00147,0,43.79,0.43789999999999996
SME_00148,1,65.17,0.6517
SME_00149,1,61.83,0.6183000000000001
SME_00150,0,25.44,0.25439999999999996
SME_00151,0,16.47,0.16469999999999996
SME_00152,1,42.95,0.4295
SME_00153,0,39.93,0.3993
SME_00154,1,55.71,0.5570999999999999
SME_00155,0,49.46,0.49460000000000004
SME_00156,0,43.16,0.4316
SME_00157,0,54.86,0.5486
SME_00158,0,37.31,0.3731
SME_00159,1,6.66,0.06659999999999999
SME_00160,0,32.13,0.32130000000000003
SME_00161,0,62.58,0.6258
SME_00162,0,50.13,0.5013000000000001
SME_00163,0,39.05,0.39049999999999996
SME_00164,0,41.01,0.4101
SME_00165,1,56.31,0.5630999999999999
SME_00166,1,24.62,0.24619999999999997
SME_00167,0,45.58,0.4558
SME_00168,1,12.84,0.12839999999999996
SME_00169,0,57.47,0.5747
SME_00170,0,51.13,0.5113
SME_00171,0,38.31,0.3831
SME_00172,1,7.56,0.0756
SME_00173,0,53.79,0.5379
SME_00174,0,38.74,0.38739999999999997
SME_00175,0,50.28,0.5028
SME_00176,0,38.78,0.38780000000000003
SME_00177,0,38.59,0.3859
SME_00178,0,56.14,0.5614
SME_00179,0,42.55,0.4255
SME_00180,0,20.22,0.20220000000000005
SME_00181,1,38.99,0.3899
SME_00182,0,48.82,0.48819999999999997
SME_00183,0,17.48,0.17479999999999996
SME_00184,0,48.8,0.488
SME_00185,1,9.17,0.0917
SME_00186,0,37.62,0.3762
SME_00187,0,37.22,0.3722
SME_00188,0,48.97,0.4897
SME_00189,0,39.44,0.3944
SME_00190,0,14.93,0.1493
SME_00191,0,60.56,0.6056
SME_00192,1,20.81,0.20809999999999995
SME_00193,0,37.22,0.3722
SME_00194,1,7.42,0.07420000000000004
SME_00195,0,62.23,0.6223000000000001
SME_00196,0,46.19,0.4619
SME_00197,0,48.58,0.4858
SME_00198,0,40.61,0.4061
SME_00199,0,35.23,0.35229999999999995
SME_00200,0,48.55,0.48550000000000004
SME_00201,1,52.11,0.5211
SME_00202,0,46.17,0.4617
SME_00203,0,43.49,0.43489999999999995
SME_00204,0,58.79,0.5879
SME_00205,0,27.29,0.27290000000000003
SME_00206,0,33.19,0.3319
SME_00207,1,20.13,0.20130000000000003
SME_00208,0,58.85,0.5885
SME_00209,0,14.72,0.1472
SME_00210,0,30.5,0.30500000000000005
SME_00211,0,30.49,0.30489999999999995
SME_00212,0,26.36,0.26359999999999995
SME_00213,0,13.4,0.134
SME_00214,0,15.99,0.15990000000000004
SME_00215,0,41.11,0.4111
SME_00216,1,19.06,0.1906
SME_00217,0,52.64,0.5264
SME_00218,0,20.36,0.2036
SME_00219,0,24.8,0.248
SME_00220,0,41.26,0.41259999999999997
SME_00221,0,51.63,0.5163
SME_00222,0,56.09,0.5609
SME_00223,0,60.58,0.6058
SME_00224,0,48.66,0.48660000000000003
SME_00225,0,43.5,0.43500000000000005
SME_00226,0,52.45,0.5245
SME_00227,0,21.81,0.21809999999999996
SME_00228,0,42.69,0.42689999999999995
SME_00229,0,48.97,0.4897
SME_00230,0,41.52,0.4152
SME_00231,0,48.59,0.4859
SME_00232,1,52.69,0.5268999999999999
SME_00233,1,23.21,0.23209999999999997
SME_00234,0,21.51,0.21509999999999996
SME_00235,0,42.6,0.42600000000000005
SME_00236,1,1.89,0.018900000000000028
SME_00237,1,53.85,0.5385
SME_00238,1,18.13,0.18130000000000002
SME_00239,0,20.98,0.2098
SME_00240,0,34.88,0.3488
SME_00241,1,14.17,0.14170000000000005
SME_00242,0,26.89,0.26890000000000003
SME_00243,1,13.61,0.1361
SME_00244,0,13.55,0.13549999999999995
SME_00245,0,14.91,0.1491
SME_00246,1,62.88,0.6288
SME_00247,1,43.47,0.4347
SME_00248,0,50.74,0.5074000000000001
SME_00249,0,49.35,0.49350000000000005
SME_00250,0,55.72,0.5571999999999999
SME_00251,1,17.4,0.17400000000000004
SME_00252,1,49.41,0.4941
SME_00253,1,66.87,0.6687000000000001
SME_00254,0,27.5,0.275
SME_00255,0,52.38,0.5238
SME_00256,0,28.21,0.2821
SME_00257,0,17.43,0.1743
SME_00258,1,29.1,0.29100000000000004
SME_00259,0,24.16,0.24160000000000004
SME_00260,0,37.55,0.37549999999999994
SME_00261,1,37.03,0.37029999999999996
SME_00262,0,19.04,0.1904
SME_00263,1,50.06,0.5005999999999999
SME_00264,0,39.9,0.399
SME_00265,0,50.46,0.5045999999999999
SME_00266,0,33.11,0.33109999999999995
SME_00267,0,52.35,0.5235000000000001
SME_00268,0,34.23,0.34230000000000005
SME_00269,0,33.82,0.33819999999999995
SME_00270,1,66.71,0.6671
SME_00271,0,24.28,0.24280000000000002
SME_00272,0,30.82,0.30820000000000003
SME_00273,0,40.32,0.4032
SME_00274,0,60.08,0.6008
SME_00275,0,28.53,0.2853
SME_00276,0,43.26,0.4326
SME_00277,0,26.41,0.2641
SME_00278,1,12.64,0.12639999999999996
SME_00279,1,50.72,0.5072
SME_00280,1,58.78,0.5878
SME_00281,1,57.43,0.5743
SME_00282,0,36.55,0.36550000000000005
SME_00283,0,35.33,0.35329999999999995
SME_00284,0,43.78,0.43779999999999997
SME_00285,0,11.06,0.11060000000000003
SME_00286,0,40.52,0.4052
SME_00287,0,34.22,0.34219999999999995
SME_00288,1,51.38,0.5138
SME_00289,0,31.5,0.31499999999999995
SME_00290,0,40.09,0.40090000000000003
SME_00291,1,6.6,0.06599999999999995
SME_00292,0,58.46,0.5846
SME_00293,0,64.89,0.6489
SME_00294,0,39.09,0.3909
SME_00295,1,17.29,0.17290000000000005
SME_00296,0,48.8,0.488
SME_00297,0,46.21,0.46209999999999996
SME_00298,1,13.03,0.13029999999999997
SME_00299,1,19.67,0.19669999999999999
SME_00300,0,34.68,0.3468
SME_00301,0,11.98,0.11980000000000002
SME_00302,0,38.14,0.38139999999999996
SME_00303,0,23.52,0.23519999999999996
SME_00304,0,21.98,0.2198
SME_00305,0,37.43,0.37429999999999997
SME_00306,0,69.68,0.6968
SME_00307,1,53.84,0.5384
SME_00308,0,38.58,0.38580000000000003
SME_00309,0,19.28,0.19279999999999997
SME_00310,0,47.94,0.47940000000000005
SME_00311,0,26.61,0.2661
SME_00312,0,63.47,0.6347
SME_00313,0,39.73,0.3973
SME_00314,0,48.09,0.4809
SME_00315,1,36.3,0.363
SME_00316,1,63.78,0.6377999999999999
SME_00317,0,44.33,0.4433
SME_00318,0,26.06,0.26060000000000005
SME_00319,0,29.95,0.2995
SME_00320,1,75.45,0.7545
SME_00321,0,49.01,0.4901
SME_00322,0,16.06,0.16059999999999997
SME_00323,0,37.57,0.37570000000000003
SME_00324,0,53.23,0.5323
SME_00325,0,24.53,0.24529999999999996
SME_00326,0,37.19,0.3719
SME_00327,0,20.95,0.20950000000000002
SME_00328,0,25.29,0.2529
SME_00329,0,34.64,0.34640000000000004
SME_00330,0,37.75,0.37749999999999995
SME_00331,0,33.19,0.3319
SME_00332,1,67.8,0.6779999999999999
SME_00333,0,18.98,0.18979999999999997
SME_00334,1,71.72,0.7172000000000001
SME_00335,0,51.27,0.5126999999999999
SME_00336,1,57.7,0.577
SME_00337,0,53.59,0.5359
SME_00338,0,20.46,0.2046
SME_00339,0,57.69,0.5769
SME_00340,1,68.32,0.6832
SME_00341,0,52.39,0.5239
