SME_ID,Timestamp,Credit_Score,Risk_Label,SHAP_Top3,Confidence,True_Label,Predicted
SME_00001,2026-06-10T05:56:03.793591,0.9746,Normal,"{""document_completeness_score"": 1.2958, ""net_profit_margin"": 0.7553, ""repayment_delay_days"": 0.6718}",0.9492,1,1
SME_00002,2026-06-10T05:56:03.795801,0.0053,Critical,"{""repayment_delay_days"": -1.5318, ""existing_debt_ratio"": -1.0804, ""net_profit_margin"": -1.0512}",0.9895,0,0
SME_00003,2026-06-10T05:56:03.795801,0.0056,Critical,"{""repayment_delay_days"": -1.6326, ""existing_debt_ratio"": -1.0892, ""net_profit_margin"": -1.0455}",0.9888,0,0
SME_00004,2026-06-10T05:56:03.795801,0.9892,Normal,"{""document_completeness_score"": 1.4202, ""bank_statement_consistency"": 1.1398, ""repayment_delay_days"": 0.6994}",0.9785,1,1
SME_00005,2026-06-10T05:56:03.795801,0.9702,Normal,"{""document_completeness_score"": 1.4294, ""bank_statement_consistency"": 0.7556, ""net_profit_margin"": 0.5375}",0.9404,1,1
SME_00006,2026-06-10T05:56:03.795801,0.606,Normal,"{""repayment_delay_days"": -1.4233, ""bank_statement_consistency"": 0.9848, ""existing_debt_ratio"": 0.5483}",0.212,1,1
SME_00007,2026-06-10T05:56:03.795801,0.9813,Normal,"{""net_profit_margin"": 0.81, ""repayment_delay_days"": 0.7328, ""cash_flow_stability"": 0.5417}",0.9627,1,1
SME_00008,2026-06-10T05:56:03.795801,0.9266,Normal,"{""net_profit_margin"": 0.86, ""repayment_delay_days"": 0.6938, ""existing_debt_ratio"": 0.5456}",0.8533,0,1
SME_00009,2026-06-10T05:56:03.795801,0.0184,Critical,"{""repayment_delay_days"": -1.6697, ""existing_debt_ratio"": -1.1392, ""net_profit_margin"": -0.8479}",0.9633,0,0
SME_00010,2026-06-10T05:56:03.795801,0.8816,Normal,"{""repayment_delay_days"": 0.7316, ""existing_debt_ratio"": 0.4639, ""bank_statement_consistency"": 0.4444}",0.7631,1,1
SME_00011,2026-06-10T05:56:03.795801,0.9139,Normal,"{""repayment_delay_days"": 0.6224, ""net_profit_margin"": 0.5501, ""existing_debt_ratio"": 0.4717}",0.8278,0,1
SME_00012,2026-06-10T05:56:03.795801,0.2588,Critical,"{""bank_statement_consistency"": -1.1203, ""repayment_delay_days"": -0.7405, ""cash_flow_stability"": 0.5615}",0.4823,0,0
SME_00013,2026-06-10T05:56:03.795801,0.9643,Normal,"{""net_profit_margin"": 0.7665, ""repayment_delay_days"": 0.6875, ""previously_raised_fund"": -0.532}",0.9286,1,1
SME_00014,2026-06-10T05:56:03.795801,0.7744,Normal,"{""net_profit_margin"": 0.9128, ""document_completeness_score"": -0.5968, ""repayment_delay_days"": 0.482}",0.5488,0,1
SME_00015,2026-06-10T05:56:03.795801,0.0052,Critical,"{""repayment_delay_days"": -1.5534, ""existing_debt_ratio"": -1.063, ""net_profit_margin"": -1.0126}",0.9897,0,0
SME_00016,2026-06-10T05:56:03.795801,0.1478,Critical,"{""document_completeness_score"": -0.907, ""repayment_delay_days"": -0.7344, ""bank_statement_consistency"": -0.2561}",0.7044,0,0
SME_00017,2026-06-10T05:56:03.795801,0.0092,Critical,"{""repayment_delay_days"": -1.5405, ""existing_debt_ratio"": -1.1723, ""net_profit_margin"": -1.0468}",0.9817,0,0
SME_00018,2026-06-10T05:56:03.795801,0.9699,Normal,"{""document_completeness_score"": 1.4888, ""bank_statement_consistency"": 0.8929, ""repayment_delay_days"": 0.687}",0.9399,1,1
SME_00019,2026-06-10T05:56:03.795801,0.0052,Critical,"{""repayment_delay_days"": -1.5209, ""existing_debt_ratio"": -1.0377, ""net_profit_margin"": -1.0145}",0.9896,0,0
SME_00020,2026-06-10T05:56:03.795801,0.984,Normal,"{""document_completeness_score"": 1.2473, ""repayment_delay_days"": 0.7135, ""net_profit_margin"": 0.6705}",0.968,1,1
SME_00021,2026-06-10T05:56:03.795801,0.8889,Normal,"{""bank_statement_consistency"": 0.8805, ""existing_debt_ratio"": 0.673, ""repayment_delay_days"": 0.5291}",0.7779,1,1
SME_00022,2026-06-10T05:56:03.795801,0.979,Normal,"{""document_completeness_score"": 1.0215, ""bank_statement_consistency"": 0.8503, ""repayment_delay_days"": 0.5234}",0.958,1,1
SME_00023,2026-06-10T05:56:03.795801,0.0695,Critical,"{""net_profit_margin"": -1.0392, ""repayment_delay_days"": -0.6566, ""document_completeness_score"": -0.5273}",0.8609,0,0
SME_00024,2026-06-10T05:56:03.795801,0.9885,Normal,"{""bank_statement_consistency"": 1.0151, ""document_completeness_score"": 0.9848, ""net_profit_margin"": 0.6568}",0.977,1,1
SME_00025,2026-06-10T05:56:03.795801,0.0099,Critical,"{""repayment_delay_days"": -1.8966, ""existing_debt_ratio"": -1.3214, ""net_profit_margin"": -1.0027}",0.9802,0,0
SME_00026,2026-06-10T05:56:03.795801,0.9787,Normal,"{""document_completeness_score"": 1.1088, ""bank_statement_consistency"": 0.8282, ""net_profit_margin"": 0.6514}",0.9574,1,1
