SME_ID,Month,Predicted_Revenue,Lower_Bound,Upper_Bound
SME_00697,2026-02,187334.95,186908.81,187749.49
SME_00697,2026-03,166984.1,165800.48,168215.48
SME_00697,2026-04,213257.52,210530.27,216164.44
SME_00697,2026-05,223819.7,219429.84,228536.89
SME_00697,2026-06,173629.02,168851.37,178924.07
SME_00697,2026-07,185363.5,178477.38,192855.68
SME_00697,2026-08,185617.64,177266.12,194893.62
SME_00697,2026-09,142847.58,134947.87,151463.3
SME_00697,2026-10,117444.3,109828.57,125908.22
SME_00697,2026-11,238902.1,221060.12,258984.15
SME_00697,2026-12,267981.43,244845.17,294323.18
SME_00697,2027-01,194101.09,174743.47,215195.42
SME_00668,2026-02,63016.9,62856.68,63163.62
SME_00668,2026-03,52199.42,51827.6,52572.38
SME_00668,2026-04,74247.42,73211.48,75276.98
SME_00668,2026-05,77240.75,75551.48,78916.04
SME_00668,2026-06,65619.32,63576.32,67545.81
SME_00668,2026-07,48952.77,47038.54,50795.36
SME_00668,2026-08,58610.39,55697.49,61333.24
SME_00668,2026-09,53167.99,49972.81,56090.78
SME_00668,2026-10,61988.21,57543.08,66067.68
SME_00668,2026-11,66515.89,60794.8,71642.63
SME_00668,2026-12,56573.89,50970.62,61518.22
SME_00668,2027-01,74764.97,66296.08,82166.76
SME_00064,2026-02,93949.89,93797.59,94129.71
SME_00064,2026-03,112269.94,111695.12,112910.37
SME_00064,2026-04,93799.05,92844.94,94881.41
SME_00064,2026-05,117248.91,115329.47,119271.62
SME_00064,2026-06,79749.2,77898.13,81710.06
SME_00064,2026-07,78625.55,76189.61,81170.39
SME_00064,2026-08,130172.53,124929.49,135538.34
SME_00064,2026-09,102214.05,97385.1,107411.64
SME_00064,2026-10,100628.59,94917.46,106866.57
SME_00064,2026-11,91387.09,85310.06,97977.72
SME_00064,2026-12,87702.75,80919.41,94879.85
SME_00064,2027-01,103112.85,93919.54,112835.79
SME_00534,2026-02,46756.66,46727.41,46796.55
SME_00534,2026-03,43444.19,43356.91,43566.23
SME_00534,2026-04,40186.49,40020.37,40414.97
SME_00534,2026-05,67381.26,66959.16,67954.82
SME_00534,2026-06,46201.73,45784.24,46751.55
SME_00534,2026-07,38053.58,37597.14,38654.98
SME_00534,2026-08,38610.71,38010.16,39383.05
SME_00534,2026-09,36383.38,35686.69,37265.11
SME_00534,2026-10,48701.29,47561.29,50089.14
SME_00534,2026-11,42787.07,41610.25,44226.72
SME_00534,2026-12,54465.12,52726.37,56646.71
SME_00534,2027-01,51909.61,49972.16,54262.3
SME_00067,2026-02,37926.28,37847.95,37988.91
SME_00067,2026-03,34147.42,33922.58,34341.12
SME_00067,2026-04,38342.75,37878.69,38752.47
SME_00067,2026-05,33752.83,33097.68,34328.74
SME_00067,2026-06,43899.77,42674.35,45073.84
SME_00067,2026-07,41397.6,39796.92,42930.9
SME_00067,2026-08,18231.8,17303.52,19133.29
SME_00067,2026-09,28260.11,26377.16,30023.5
SME_00067,2026-10,27329.98,25094.52,29453.93
SME_00067,2026-11,28911.6,26073.61,31601.68
SME_00067,2026-12,29991.56,26364.97,33389.36
SME_00067,2027-01,27728.65,23810.04,31497.32
SME_00622,2026-02,105791.22,105582.68,105988.67
SME_00622,2026-03,117668.43,116938.66,118365.48
SME_00622,2026-04,98739.98,97528.86,99859.98
SME_00622,2026-05,102027.66,100065.01,103872.87
SME_00622,2026-06,92023.83,89557.95,94357.94
SME_00622,2026-07,121860.55,117511.02,125946.95
SME_00622,2026-08,93502.98,89392.02,97496.14
SME_00622,2026-09,96033.3,90911.19,101038.85
SME_00622,2026-10,93592.26,87724.05,99295.93
SME_00622,2026-11,108434.62,100659.24,116030.22
SME_00622,2026-12,108223.78,99661.8,116912.35
SME_00622,2027-01,115682.47,105248.75,126227.05
SME_00347,2026-02,45322.89,45069.57,45556.59
SME_00347,2026-03,39408.42,38694.23,40105.8
SME_00347,2026-04,39929.62,38449.79,41402.4
SME_00347,2026-05,37985.46,35693.1,40206.17
SME_00347,2026-06,35284.09,32120.97,38444.45
SME_00347,2026-07,42082.57,36934.77,47401.6
SME_00347,2026-08,17277.41,14524.21,20229.24
SME_00347,2026-09,25815.75,20314.11,31695.3
SME_00347,2026-10,29484.45,21499.42,38109.4
SME_00347,2026-11,27327.26,17750.44,37376.25
SME_00347,2026-12,25807.77,14469.97,37497.69
SME_00347,2027-01,24203.12,11011.77,37883.86
SME_00491,2026-02,106908.26,106819.4,106999.74
SME_00491,2026-03,120826.33,120518.47,121137.5
SME_00491,2026-04,102455.18,101919.72,102979.57
SME_00491,2026-05,110671.25,109728.26,111555.07
SME_00491,2026-06,106141.82,104838.64,107310.71
SME_00491,2026-07,74956.68,73712.07,76076.59
SME_00491,2026-08,105853.2,103577.36,107828.5
SME_00491,2026-09,105109.38,102324.52,107497.48
SME_00491,2026-10,92742.7,89779.54,95285.83
SME_00491,2026-11,95707.5,92104.66,98800.84
SME_00491,2026-12,84046.35,80350.67,87218.62
SME_00491,2027-01,117739.25,111767.73,122898.8
SME_00761,2026-02,171454.37,171117.13,171852.01
SME_00761,2026-03,140363.6,139439.69,141409.43
SME_00761,2026-04,176503.67,174292.18,178720.57
SME_00761,2026-05,191751.31,188135.29,195384.4
SME_00761,2026-06,202764.67,197563.01,207840.06
SME_00761,2026-07,104863.19,101296.5,108303.67
