businessID,creditScore,defaultProbability
SME_00001,710,0.2541
SME_00002,804,0.08330000000000004
SME_00003,561,0.5252
SME_00004,659,0.34640000000000004
SME_00005,739,0.20109999999999995
SME_00006,733,0.2128
SME_00007,710,0.254
SME_00008,725,0.22809999999999997
SME_00009,565,0.5174000000000001
SME_00010,640,0.38270000000000004
SME_00011,668,0.3317
SME_00012,630,0.40069999999999995
SME_00013,528,0.5861000000000001
SME_00014,814,0.06579999999999997
SME_00015,641,0.38049999999999995
SME_00016,635,0.391
SME_00017,685,0.2996
SME_00018,536,0.5718
SME_00019,735,0.20930000000000004
SME_00020,683,0.3034
SME_00021,737,0.20609999999999995
SME_00022,463,0.7044
SME_00023,778,0.13029999999999997
SME_00024,486,0.6626000000000001
SME_00025,743,0.19479999999999997
SME_00026,611,0.4346
SME_00027,556,0.5343
SME_00028,496,0.6436
SME_00029,583,0.4857
SME_00030,736,0.20699999999999996
SME_00031,708,0.2582
SME_00032,700,0.272
SME_00033,469,0.6921999999999999
SME_00034,682,0.3063
SME_00035,578,0.494
SME_00036,730,0.21850000000000003
SME_00037,695,0.28200000000000003
SME_00038,695,0.28180000000000005
SME_00039,582,0.487
SME_00040,667,0.33309999999999995
SME_00041,636,0.38939999999999997
SME_00042,624,0.41000000000000003
SME_00043,705,0.2633
SME_00044,489,0.6572
SME_00045,786,0.11570000000000003
SME_00046,795,0.09930000000000005
SME_00047,558,0.5307
SME_00048,530,0.5813999999999999
SME_00049,747,0.1874
SME_00050,744,0.1935
SME_00051,495,0.646
SME_00052,701,0.2702
SME_00053,679,0.3114
SME_00054,677,0.31499999999999995
SME_00055,598,0.4585
SME_00056,787,0.11539999999999995
SME_00057,507,0.6239
SME_00058,558,0.5306
SME_00059,546,0.5526
SME_00060,750,0.1815
SME_00061,697,0.2782
SME_00062,612,0.4326
SME_00063,742,0.1965
SME_00064,719,0.23829999999999996
SME_00065,614,0.42889999999999995
SME_00066,674,0.32020000000000004
SME_00067,617,0.4232
SME_00068,503,0.6314
SME_00069,725,0.2268
SME_00070,502,0.6329
SME_00071,680,0.3094
SME_00072,640,0.38270000000000004
SME_00073,666,0.33409999999999995
SME_00074,530,0.5811
SME_00075,719,0.23829999999999996
SME_00076,596,0.46140000000000003
SME_00077,775,0.13560000000000005
SME_00078,709,0.2562
SME_00079,449,0.7291000000000001
SME_00080,727,0.22360000000000002
SME_00081,706,0.26160000000000005
SME_00082,559,0.5299
SME_00083,740,0.1996
SME_00084,738,0.20279999999999998
SME_00085,682,0.30600000000000005
SME_00086,654,0.35640000000000005
SME_00087,727,0.22419999999999995
SME_00088,675,0.3173
SME_00089,710,0.2541
SME_00090,699,0.27449999999999997
SME_00091,717,0.241
SME_00092,584,0.484
SME_00093,702,0.269
SME_00094,552,0.5418000000000001
SME_00095,757,0.1694
SME_00096,649,0.3657
SME_00097,561,0.5251
SME_00098,621,0.4165
SME_00099,616,0.4253
SME_00100,628,0.40280000000000005
SME_00101,584,0.4831
SME_00102,624,0.41180000000000005
SME_00103,601,0.4526
SME_00104,609,0.43879999999999997
SME_00105,675,0.3188
SME_00106,663,0.34030000000000005
SME_00107,713,0.24880000000000002
SME_00108,633,0.3942
SME_00109,693,0.28469999999999995
SME_00110,715,0.24480000000000002
SME_00111,579,0.49239999999999995
SME_00112,748,0.18589999999999995
SME_00113,571,0.5075000000000001
SME_00114,719,0.23819999999999997
SME_00115,576,0.49839999999999995
SME_00116,683,0.3032
SME_00117,573,0.5028
SME_00118,718,0.24019999999999997
SME_00119,497,0.6421
SME_00120,757,0.16969999999999996
SME_00121,585,0.4818
SME_00122,706,0.2621
SME_00123,801,0.08979999999999999
SME_00124,702,0.2682
SME_00125,680,0.3085
SME_00126,533,0.5767
SME_00127,502,0.6334
SME_00128,646,0.37139999999999995
SME_00129,666,0.3339
SME_00130,733,0.21199999999999997
SME_00131,574,0.502
SME_00132,593,0.46709999999999996
SME_00133,537,0.5699000000000001
SME_00134,621,0.41600000000000004
SME_00135,523,0.5948
SME_00136,703,0.2669
SME_00137,711,0.253
SME_00138,715,0.24529999999999996
SME_00139,798,0.09530000000000005
SME_00140,580,0.49129999999999996
SME_00141,590,0.47319999999999995
SME_00142,570,0.5096
SME_00143,460,0.7098
SME_00144,721,0.2339
SME_00145,499,0.6376999999999999
SME_00146,730,0.21809999999999996
SME_00147,609,0.43789999999999996
SME_00148,492,0.6517
SME_00149,510,0.6183000000000001
SME_00150,710,0.25439999999999996
SME_00151,759,0.16469999999999996
SME_00152,614,0.4295
SME_00153,630,0.3993
SME_00154,544,0.5570999999999999
SME_00155,578,0.49460000000000004
SME_00156,613,0.4316
SME_00157,548,0.5486
SME_00158,645,0.3731
SME_00159,813,0.06659999999999999
SME_00160,673,0.32130000000000003
SME_00161,506,0.6258
SME_00162,574,0.5013000000000001
SME_00163,635,0.39049999999999996
SME_00164,624,0.4101
SME_00165,540,0.5630999999999999
SME_00166,715,0.24619999999999997
SME_00167,599,0.4558
SME_00168,779,0.12839999999999996
SME_00169,534,0.5747
SME_00170,569,0.5113
SME_00171,639,0.3831
SME_00172,808,0.0756
SME_00173,554,0.5379
SME_00174,637,0.38739999999999997
SME_00175,573,0.5028
SME_00176,637,0.38780000000000003
SME_00177,638,0.3859
SME_00178,541,0.5614
SME_00179,616,0.4255
SME_00180,739,0.20220000000000005
SME_00181,636,0.3899
SME_00182,581,0.48819999999999997
SME_00183,754,0.17479999999999996
SME_00184,582,0.488
SME_00185,800,0.0917
SME_00186,643,0.3762
SME_00187,645,0.3722
SME_00188,581,0.4897
SME_00189,633,0.3944
SME_00190,768,0.1493
SME_00191,517,0.6056
SME_00192,736,0.20809999999999995
SME_00193,645,0.3722
SME_00194,809,0.07420000000000004
SME_00195,508,0.6223000000000001
SME_00196,596,0.4619
SME_00197,583,0.4858
SME_00198,627,0.4061
SME_00199,656,0.35229999999999995
SME_00200,583,0.48550000000000004
SME_00201,563,0.5211
SME_00202,596,0.4617
SME_00203,611,0.43489999999999995
SME_00204,527,0.5879
SME_00205,700,0.27290000000000003
SME_00206,667,0.3319
SME_00207,739,0.20130000000000003
SME_00208,526,0.5885
SME_00209,769,0.1472
SME_00210,682,0.30500000000000005
SME_00211,682,0.30489999999999995
SME_00212,705,0.26359999999999995
SME_00213,776,0.134
SME_00214,762,0.15990000000000004
SME_00215,624,0.4111
SME_00216,745,0.1906
SME_00217,560,0.5264
SME_00218,738,0.2036
SME_00219,714,0.248
SME_00220,623,0.41259999999999997
SME_00221,566,0.5163
SME_00222,542,0.5609
SME_00223,517,0.6058
SME_00224,582,0.48660000000000003
SME_00225,611,0.43500000000000005
SME_00226,562,0.5245
SME_00227,730,0.21809999999999996
SME_00228,615,0.42689999999999995
SME_00229,581,0.4897
SME_00230,622,0.4152
SME_00231,583,0.4859
SME_00232,560,0.5268999999999999
SME_00233,722,0.23209999999999997
SME_00234,732,0.21509999999999996
SME_00235,616,0.42600000000000005
SME_00236,840,0.018900000000000028
SME_00237,554,0.5385
SME_00238,750,0.18130000000000002
SME_00239,735,0.2098
SME_00240,658,0.3488
SME_00241,772,0.14170000000000005
SME_00242,702,0.26890000000000003
SME_00243,775,0.1361
SME_00244,775,0.13549999999999995
SME_00245,768,0.1491
SME_00246,504,0.6288
SME_00247,611,0.4347
SME_00248,571,0.5074000000000001
SME_00249,579,0.49350000000000005
SME_00250,544,0.5571999999999999
SME_00251,754,0.17400000000000004
SME_00252,578,0.4941
SME_00253,482,0.6687000000000001
SME_00254,699,0.275
SME_00255,562,0.5238
SME_00256,695,0.2821
SME_00257,754,0.1743
SME_00258,690,0.29100000000000004
SME_00259,717,0.24160000000000004
SME_00260,643,0.37549999999999994
SME_00261,646,0.37029999999999996
SME_00262,745,0.1904
SME_00263,575,0.5005999999999999
SME_00264,631,0.399
SME_00265,572,0.5045999999999999
SME_00266,668,0.33109999999999995
SME_00267,562,0.5235000000000001
SME_00268,662,0.34230000000000005
SME_00269,664,0.33819999999999995
SME_00270,483,0.6671
SME_00271,716,0.24280000000000002
SME_00272,680,0.30820000000000003
SME_00273,628,0.4032
SME_00274,520,0.6008
SME_00275,693,0.2853
SME_00276,612,0.4326
SME_00277,705,0.2641
SME_00278,780,0.12639999999999996
SME_00279,571,0.5072
SME_00280,527,0.5878
SME_00281,534,0.5743
SME_00282,649,0.36550000000000005
SME_00283,656,0.35329999999999995
SME_00284,609,0.43779999999999997
SME_00285,789,0.11060000000000003
SME_00286,627,0.4052
SME_00287,662,0.34219999999999995
SME_00288,567,0.5138
SME_00289,677,0.31499999999999995
SME_00290,630,0.40090000000000003
SME_00291,814,0.06599999999999995
SME_00292,528,0.5846
SME_00293,493,0.6489
SME_00294,635,0.3909
SME_00295,755,0.17290000000000005
SME_00296,582,0.488
SME_00297,596,0.46209999999999996
SME_00298,778,0.13029999999999997
SME_00299,742,0.19669999999999999
SME_00300,659,0.3468
SME_00301,784,0.11980000000000002
SME_00302,640,0.38139999999999996
SME_00303,721,0.23519999999999996
SME_00304,729,0.2198
SME_00305,644,0.37429999999999997
SME_00306,467,0.6968
SME_00307,554,0.5384
SME_00308,638,0.38580000000000003
SME_00309,744,0.19279999999999997
SME_00310,586,0.47940000000000005
SME_00311,704,0.2661
SME_00312,501,0.6347
SME_00313,631,0.3973
SME_00314,586,0.4809
SME_00315,650,0.363
SME_00316,499,0.6377999999999999
SME_00317,606,0.4433
SME_00318,707,0.26060000000000005
SME_00319,685,0.2995
SME_00320,435,0.7545
SME_00321,580,0.4901
SME_00322,762,0.16059999999999997
SME_00323,643,0.37570000000000003
SME_00324,557,0.5323
SME_00325,715,0.24529999999999996
SME_00326,645,0.3719
SME_00327,735,0.20950000000000002
SME_00328,711,0.2529
SME_00329,659,0.34640000000000004
SME_00330,642,0.37749999999999995
SME_00331,667,0.3319
SME_00332,477,0.6779999999999999
SME_00333,746,0.18979999999999997
SME_00334,456,0.7172000000000001
SME_00335,568,0.5126999999999999
SME_00336,533,0.577
SME_00337,555,0.5359
SME_00338,737,0.2046
SME_00339,533,0.5769
SME_00340,474,0.6832
SME_00341,562,0.5239
SME_00342,673,0.3217
SME_00343,696,0.27980000000000005
SME_00344,772,0.1412
SME_00345,679,0.3116
SME_00346,817,0.060899999999999954
SME_00347,576,0.4979
SME_00348,671,0.32509999999999994
SME_00349,564,0.5206999999999999
SME_00350,667,0.33209999999999995
SME_00351,484,0.6661
SME_00352,654,0.3557
SME_00353,661,0.34319999999999995
SME_00354,599,0.45720000000000005
SME_00355,660,0.34619999999999995
SME_00356,736,0.20699999999999996
SME_00357,748,0.18500000000000005
SME_00358,819,0.056599999999999984
SME_00359,630,0.4003
SME_00360,491,0.652
SME_00361,678,0.31189999999999996
SME_00362,699,0.27480000000000004
SME_00363,760,0.16410000000000002
SME_00364,489,0.6571
SME_00365,590,0.47230000000000005
SME_00366,671,0.3246
SME_00367,767,0.15139999999999998
SME_00368,733,0.21340000000000003
SME_00369,671,0.3256
SME_00370,670,0.32709999999999995
SME_00371,808,0.07689999999999997
SME_00372,606,0.44410000000000005
SME_00373,542,0.5606
SME_00374,429,0.7654
SME_00375,616,0.42579999999999996
SME_00376,589,0.4737
SME_00377,559,0.5287999999999999
SME_00378,615,0.42769999999999997
SME_00379,713,0.24939999999999996
SME_00380,727,0.22309999999999997
SME_00381,630,0.3994
SME_00382,428,0.768
SME_00383,723,0.23060000000000003
SME_00384,693,0.2851
SME_00385,753,0.17569999999999997
SME_00386,601,0.45320000000000005
SME_00387,645,0.3729
SME_00388,585,0.48119999999999996
SME_00389,637,0.38739999999999997
SME_00390,569,0.5105999999999999
SME_00391,623,0.4132
SME_00392,554,0.5381
SME_00393,700,0.27270000000000005
SME_00394,680,0.3084
SME_00395,615,0.42769999999999997
SME_00396,696,0.2802
SME_00397,701,0.2714
SME_00398,581,0.48919999999999997
SME_00399,648,0.3681
SME_00400,685,0.29969999999999997
SME_00401,703,0.26780000000000004
SME_00402,529,0.5840000000000001
SME_00403,650,0.36329999999999996
SME_00404,686,0.2986
SME_00405,513,0.6119
SME_00406,455,0.7183999999999999
SME_00407,658,0.349
SME_00408,804,0.08320000000000005
SME_00409,666,0.3338
SME_00410,728,0.22160000000000002
SME_00411,629,0.40169999999999995
SME_00412,670,0.3264
SME_00413,730,0.2177
SME_00414,637,0.3879
SME_00415,673,0.3227
SME_00416,715,0.24539999999999995
SME_00417,487,0.6607000000000001
SME_00418,782,0.123
SME_00419,768,0.14890000000000003
SME_00420,639,0.38280000000000003
SME_00421,662,0.34209999999999996
SME_00422,616,0.42569999999999997
SME_00423,726,0.22560000000000002
SME_00424,457,0.7153
SME_00425,517,0.6048
SME_00426,728,0.22199999999999998
SME_00427,596,0.4625
SME_00428,760,0.16369999999999996
SME_00429,565,0.5178
SME_00430,737,0.20509999999999995
SME_00431,511,0.6164000000000001
SME_00432,793,0.10319999999999996
SME_00433,642,0.379
SME_00434,762,0.16010000000000002
SME_00435,612,0.4326
SME_00436,787,0.11370000000000002
SME_00437,447,0.7328
SME_00438,592,0.4686
SME_00439,631,0.398
SME_00440,588,0.4757
SME_00441,596,0.46120000000000005
SME_00442,658,0.34930000000000005
SME_00443,639,0.3831
SME_00444,623,0.41190000000000004
SME_00445,705,0.26380000000000003
SME_00446,747,0.1866
SME_00447,526,0.5900000000000001
SME_00448,626,0.4075
SME_00449,732,0.21509999999999996
SME_00450,674,0.31999999999999995
SME_00451,693,0.2863
SME_00452,492,0.6513
SME_00453,639,0.3841
SME_00454,728,0.22250000000000003
SME_00455,650,0.3631
SME_00456,733,0.21309999999999996
SME_00457,613,0.43110000000000004
SME_00458,715,0.246
SME_00459,678,0.3135
SME_00460,568,0.5126
SME_00461,591,0.4706
SME_00462,645,0.3729
SME_00463,532,0.5778
SME_00464,729,0.22019999999999995
SME_00465,769,0.1471
SME_00466,714,0.24760000000000004
SME_00467,775,0.1362
SME_00468,715,0.24460000000000004
SME_00469,682,0.3062
