businessID,businessName,sector,sizeClass,yearsInBusiness,employees,annualRevenue,annualIncome,loanAmount,loanDuration,creditScore,defaultProbability,riskScore,debtToIncomeRatio,debtToEquityRatio,currentRatio,cashFlowStability,revenueVolatility,latePayments,anomalyFlag,fraudFlag,readinessScore,readinessTier,esgScoreE,esgScoreS,esgScoreG,esgComposite,esgTier,qfintrustComposite,loanDecision,registrationDate
SME_00001,Golden Payments Solutions,FinTech,Medium,9,36,1599518.52,185030.28,799759.26,48,710,0.2541,25.41,4.322,1.04,2.46,0.73,0.493,0,1,0,74.37,A,68.17,75.74,83.31,75.74,A,75.06,APPROVE,2026-06-10
SME_00002,Nova Bakery Foods,Food,Growth,10,5,789748.92,201502.68,394874.46,12,804,0.08330000000000004,8.33,1.96,0.0,3.0,1.0,0.428,0,1,0,84.63,A,83.74,93.04,100.0,93.04,A,88.84,APPROVE,2026-06-10
SME_00003,Ever Dyeing Care,Textile,Growth,4,5,397936.32,49751.4,198968.16,36,561,0.5252,52.52,3.999,2.67,1.5,0.25,0.366,1,0,0,48.37,C,46.88,52.09,57.3,52.09,B,50.23,CONDITIONAL REVIEW,2026-06-10
SME_00004,Nova Diagnostics Digital,Healthcare,Medium,5,5,649285.32,98262.12,324642.66,48,659,0.34640000000000004,34.64,3.304,1.37,1.9,0.45,0.182,0,0,0,46.03,C,57.59,63.99,70.39,63.99,B,55.01,APPROVE,2026-06-10
SME_00005,Smart Electronics Hub,Retail,Growth,14,24,524745.0,133752.48,262372.5,12,739,0.20109999999999995,20.11,1.962,0.99,3.0,1.0,0.345,0,0,0,67.58,B,67.9,75.44,82.98,75.44,A,71.51,APPROVE,2026-06-10
SME_00006,Future Fabric Enterprises,Textile,Small,12,17,867549.84,201372.24,433774.92,60,733,0.2128,21.28,2.154,0.52,2.84,0.92,0.332,0,0,0,73.01,A,71.38,79.31,87.24,79.31,A,76.16,APPROVE,2026-06-10
SME_00007,Urban Clinic Textiles,Healthcare,Micro,6,8,975668.16,251865.0,487834.08,36,710,0.254,25.4,1.937,0.95,2.82,0.91,0.201,0,0,0,54.71,B,61.13,67.92,74.71,67.92,B,61.31,APPROVE,2026-06-10
SME_00008,Alpha Payments Enterprises,FinTech,Micro,3,9,599214.6,142618.8,299607.3,36,725,0.22809999999999997,22.81,2.101,1.48,2.78,0.89,0.361,0,0,0,60.85,B,61.38,68.2,75.02,68.2,B,64.53,APPROVE,2026-06-10
SME_00009,Vertex HomeGoods Digital,Retail,Micro,4,6,281357.64,25182.6,140678.82,48,565,0.5174000000000001,51.74,5.586,2.37,1.27,0.13,0.216,1,0,0,49.47,C,51.24,56.93,62.62,56.93,B,53.2,CONDITIONAL REVIEW,2026-06-10
SME_00010,Prime Bakery Textiles,Food,Micro,8,15,683161.44,40507.92,341580.72,60,640,0.38270000000000004,38.27,8.432,1.87,1.98,0.49,0.38,1,0,0,70.13,A,61.7,68.55,75.41,68.55,B,69.34,CONDITIONAL REVIEW,2026-06-10
SME_00011,Green AgroProcessing Digital,AgriTech,Small,8,7,367843.56,55707.84,183921.78,60,668,0.3317,33.17,3.302,1.14,2.27,0.64,0.321,0,0,0,58.99,B,65.75,73.05,80.36,73.05,A,66.02,APPROVE,2026-06-10
SME_00012,Prime Garments Traders,Textile,Medium,3,8,961581.12,126919.08,480790.56,48,630,0.40069999999999995,40.07,3.788,1.76,2.06,0.53,0.124,0,0,0,43.04,C,55.55,61.72,67.89,61.72,B,52.38,CONDITIONAL REVIEW,2026-06-10
SME_00013,Fresh Warehousing Traders,Logistics,Medium,1,13,741316.08,2311.68,370658.04,36,528,0.5861000000000001,58.61,9.9,2.91,1.38,0.19,0.18,1,1,1,32.25,C,40.17,44.63,49.09,44.63,C,38.44,FRAUD REVIEW,2026-06-10
SME_00014,Blue AccountingTech Studio,FinTech,Small,7,8,810931.56,213905.64,405465.78,36,814,0.06579999999999997,6.58,1.896,0.0,3.0,1.0,0.6,0,0,0,79.01,A,79.17,87.97,96.77,87.97,A,83.49,APPROVE,2026-06-10
SME_00015,Bright Bakery Digital,Food,Micro,12,8,1563669.96,225514.08,781834.98,60,641,0.38049999999999995,38.05,3.467,2.04,1.91,0.45,0.376,0,0,0,58.5,B,54.4,60.44,66.48,60.44,B,59.47,CONDITIONAL REVIEW,2026-06-10
SME_00016,Nova Plastic Agro,Manufacturing,Medium,2,9,610058.64,136378.08,305029.32,36,635,0.391,39.1,2.237,1.97,1.99,0.49,0.213,0,0,0,57.98,B,59.89,66.55,73.2,66.55,B,62.27,CONDITIONAL REVIEW,2026-06-10
SME_00017,Trust Beverage Studio,Food,Small,6,15,707973.24,126831.24,353986.62,36,685,0.2996,29.96,2.791,1.09,2.3,0.65,0.452,0,0,0,77.53,A,68.62,76.25,83.88,76.25,A,76.89,APPROVE,2026-06-10
SME_00018,Blue Electronics Partners,Retail,Micro,2,24,553166.64,82032.96,276583.32,60,536,0.5718,57.18,3.372,2.83,1.65,0.32,0.284,1,0,1,51.74,B,50.09,55.66,61.23,55.66,B,53.7,FRAUD REVIEW,2026-06-10
SME_00019,Future SMEFinance Traders,FinTech,Small,4,13,1090477.44,246038.04,545238.72,48,735,0.20930000000000004,20.93,2.216,0.03,2.92,0.96,0.385,0,0,0,71.75,A,63.47,70.52,77.57,70.52,A,71.13,APPROVE,2026-06-10
