businessID,month,monthIndex,monthlyRevenue,monthlyCashFlow,debtToIncomeRatio,workingCapRatio,paymentHistScore
SME_00001,2023-01-01,1,128411.03,9682.1,3.838,1.92,0.54
SME_00001,2023-01-31,2,89605.85,3821.95,4.216,1.33,0.59
SME_00001,2023-03-02,3,228618.97,28876.19,4.889,1.68,0.68
SME_00001,2023-04-01,4,187548.23,13105.5,4.653,1.04,0.69
SME_00001,2023-05-01,5,314937.22,53056.53,4.901,1.09,0.56
SME_00001,2023-05-31,6,245813.08,37764.0,4.346,1.57,0.83
SME_00001,2023-06-30,7,262397.27,31948.56,4.278,1.72,0.89
SME_00001,2023-07-30,8,258327.89,32491.06,4.513,2.45,0.77
SME_00001,2023-08-29,9,344183.4,45543.83,3.692,1.59,0.85
SME_00001,2023-09-28,10,284719.85,31280.97,4.685,1.57,0.99
SME_00001,2023-10-28,11,256949.03,25746.72,4.376,1.39,0.55
SME_00001,2023-11-27,12,249321.85,33431.12,4.163,1.87,0.87
SME_00001,2023-12-27,13,219096.44,26183.29,4.257,2.28,0.93
SME_00001,2024-01-26,14,320239.84,28220.76,3.793,1.08,0.62
SME_00001,2024-02-25,15,466173.35,40273.62,4.539,2.39,0.79
SME_00001,2024-03-26,16,529188.63,32915.07,4.425,1.72,0.92
SME_00001,2024-04-25,17,459454.82,56886.14,4.354,2.02,0.42
SME_00001,2024-05-25,18,322315.41,38320.8,3.831,1.34,0.8
SME_00001,2024-06-24,19,279928.6,38747.97,4.518,0.95,0.75
SME_00001,2024-07-24,20,215811.98,13081.58,4.001,1.58,0.47
SME_00001,2024-08-23,21,245432.25,43987.58,4.229,2.29,0.97
SME_00001,2024-09-22,22,273458.16,17557.43,4.295,0.9,0.77
SME_00001,2024-10-22,23,195622.59,29677.2,3.722,2.17,0.42
SME_00001,2024-11-21,24,226172.07,29844.77,3.776,1.23,0.83
SME_00002,2023-01-01,1,68736.32,11556.96,1.695,2.18,0.44
SME_00002,2023-01-31,2,18807.91,1086.18,1.736,2.49,0.51
SME_00002,2023-03-02,3,65592.86,9778.11,1.897,1.08,0.66
SME_00002,2023-04-01,4,25237.25,3736.74,2.125,1.19,0.5
SME_00002,2023-05-01,5,14074.41,1510.13,1.841,1.51,0.8
SME_00002,2023-05-31,6,13688.98,949.68,1.876,2.13,0.79
SME_00002,2023-06-30,7,46475.15,6838.53,2.014,1.21,0.4
SME_00002,2023-07-30,8,12635.98,1925.71,2.15,1.99,0.45
SME_00002,2023-08-29,9,44723.37,4228.75,1.782,1.8,0.9
SME_00002,2023-09-28,10,52934.69,2479.56,2.017,1.89,0.76
SME_00002,2023-10-28,11,86935.15,5064.54,1.804,1.85,0.41
SME_00002,2023-11-27,12,129127.76,16639.95,2.057,1.21,0.76
SME_00002,2023-12-27,13,87632.91,9185.36,2.201,1.53,0.78
SME_00002,2024-01-26,14,98638.13,4433.7,1.712,0.94,0.87
SME_00002,2024-02-25,15,65527.82,9476.99,1.766,1.22,0.66
SME_00002,2024-03-26,16,46307.38,4001.02,2.01,1.37,0.64
SME_00002,2024-04-25,17,52315.4,6265.4,2.046,1.75,0.87
SME_00002,2024-05-25,18,56587.33,6628.64,1.731,2.18,0.86
SME_00002,2024-06-24,19,41376.18,3228.43,1.84,1.66,0.48
SME_00002,2024-07-24,20,53137.01,4992.41,1.773,1.25,0.82
SME_00002,2024-08-23,21,38552.66,2002.23,2.081,2.05,0.89
SME_00002,2024-09-22,22,40155.51,4272.3,2.172,1.08,0.55
SME_00002,2024-10-22,23,48875.53,3519.75,1.757,1.86,0.45
SME_00002,2024-11-21,24,40466.64,1873.04,1.729,0.8,0.82
SME_00003,2023-01-01,1,15950.43,1158.33,4.372,1.65,0.82
SME_00003,2023-01-31,2,20380.11,2107.01,3.684,2.45,0.74
SME_00003,2023-03-02,3,17571.1,1513.0,3.656,2.39,0.93
SME_00003,2023-04-01,4,7162.85,486.22,3.822,2.1,0.53
SME_00003,2023-05-01,5,28470.58,3745.48,4.247,2.0,0.98
SME_00003,2023-05-31,6,37171.39,3290.03,4.453,0.84,0.57
SME_00003,2023-06-30,7,37380.48,2022.68,4.414,1.9,0.42
SME_00003,2023-07-30,8,30912.61,4329.89,4.433,1.92,0.42
SME_00003,2023-08-29,9,34806.25,3236.4,3.793,1.62,0.92
SME_00003,2023-09-28,10,41788.81,3146.21,3.52,2.27,0.42
SME_00003,2023-10-28,11,39212.23,4358.49,3.558,2.33,0.85
SME_00003,2023-11-27,12,46865.88,7938.23,4.219,1.11,0.58
SME_00003,2023-12-27,13,78541.79,13328.88,3.86,2.0,0.98
SME_00003,2024-01-26,14,77717.37,4766.59,4.434,1.52,0.84
SME_00003,2024-02-25,15,66783.19,2925.01,4.565,2.18,0.46
SME_00003,2024-03-26,16,51035.52,9182.88,4.125,2.25,0.44
SME_00003,2024-04-25,17,71103.22,3903.62,3.986,1.55,0.53
SME_00003,2024-05-25,18,55914.21,4587.08,4.559,1.29,0.53
SME_00003,2024-06-24,19,78004.35,11038.63,4.304,0.86,0.64
SME_00003,2024-07-24,20,79685.12,11821.62,4.485,1.82,0.43
SME_00003,2024-08-23,21,69121.22,10008.43,3.475,1.12,0.65
SME_00003,2024-09-22,22,66274.07,6943.58,3.887,1.59,0.83
SME_00003,2024-10-22,23,75677.54,6241.25,3.823,1.84,0.69
SME_00003,2024-11-21,24,53149.24,7506.01,4.072,2.17,0.67
SME_00004,2023-01-01,1,74794.03,5308.44,3.191,1.86,0.42
SME_00004,2023-01-31,2,77054.63,7796.08,3.402,2.44,0.93
SME_00004,2023-03-02,3,80248.51,3843.74,3.047,2.12,0.47
SME_00004,2023-04-01,4,62162.44,4729.11,3.744,2.2,0.87
SME_00004,2023-05-01,5,66037.83,3756.37,3.32,1.56,0.59
SME_00004,2023-05-31,6,70494.88,11051.18,3.268,0.9,0.56
SME_00004,2023-06-30,7,71918.93,9395.59,3.364,1.66,0.79
SME_00004,2023-07-30,8,66834.8,9736.67,3.358,2.4,0.99
SME_00004,2023-08-29,9,63745.74,10221.18,3.71,2.34,0.9
SME_00004,2023-09-28,10,69479.99,6734.27,2.966,1.37,0.86
SME_00004,2023-10-28,11,69467.26,8277.44,3.407,2.39,0.8
SME_00004,2023-11-27,12,57129.14,8574.05,3.385,2.22,0.56
SME_00004,2023-12-27,13,70416.93,7423.45,3.182,1.74,0.47
SME_00004,2024-01-26,14,86046.4,8919.55,3.26,1.72,0.78
SME_00004,2024-02-25,15,90185.65,14765.33,3.36,1.87,0.44
SME_00004,2024-03-26,16,95412.84,5596.62,3.383,1.47,0.88
SME_00004,2024-04-25,17,105651.48,18608.02,2.955,1.47,0.8
SME_00004,2024-05-25,18,104448.9,8645.07,3.073,2.18,0.99
SME_00004,2024-06-24,19,102246.42,10424.18,3.343,1.59,0.7
SME_00004,2024-07-24,20,113219.76,7753.68,3.704,2.08,0.81
SME_00004,2024-08-23,21,109946.3,5647.1,3.627,2.5,0.75
SME_00004,2024-09-22,22,109984.43,5304.91,3.582,0.93,0.72
SME_00004,2024-10-22,23,115778.76,11946.79,3.699,1.31,0.63
SME_00004,2024-11-21,24,117830.84,20337.21,3.008,1.78,0.63
SME_00005,2023-01-01,1,37040.99,3748.92,2.079,1.49,0.44
SME_00005,2023-01-31,2,46567.48,6459.64,1.964,0.82,0.77
SME_00005,2023-03-02,3,77629.06,3874.34,1.681,1.59,0.87
SME_00005,2023-04-01,4,91039.19,5690.01,2.16,1.92,0.6
SME_00005,2023-05-01,5,98862.18,6950.13,1.962,1.86,0.48
SME_00005,2023-05-31,6,93456.83,4307.71,1.676,1.35,0.44
SME_00005,2023-06-30,7,83806.67,3654.18,1.747,1.35,0.64
SME_00005,2023-07-30,8,66536.72,11415.68,1.901,1.64,0.55
SME_00005,2023-08-29,9,64937.12,11683.32,1.749,1.52,0.87
SME_00005,2023-09-28,10,51203.41,2278.89,2.074,0.94,0.54
SME_00005,2023-10-28,11,31095.46,3010.01,1.738,2.07,0.76
SME_00005,2023-11-27,12,47714.53,4341.56,1.769,1.81,0.87
SME_00005,2023-12-27,13,63406.8,11316.43,1.676,1.32,0.44
SME_00005,2024-01-26,14,52652.62,4438.03,1.907,2.37,0.45
SME_00005,2024-02-25,15,47401.89,7279.83,1.97,0.87,0.97
SME_00005,2024-03-26,16,73244.56,3778.16,2.019,2.29,0.45
SME_00005,2024-04-25,17,94580.29,16843.37,2.094,1.27,0.82
SME_00005,2024-05-25,18,92645.67,12859.9,2.08,2.25,0.45
SME_00005,2024-06-24,19,89016.01,15448.14,1.942,2.43,0.96
SME_00005,2024-07-24,20,69558.77,11575.09,2.203,2.33,0.89
SME_00005,2024-08-23,21,67146.31,5619.49,2.135,1.63,0.49
SME_00005,2024-09-22,22,72549.62,11885.83,1.867,1.99,0.57
SME_00005,2024-10-22,23,92238.58,5714.07,2.243,0.92,0.72
SME_00005,2024-11-21,24,100911.63,16977.73,2.224,1.19,0.49
SME_00006,2023-01-01,1,107291.05,12707.09,1.952,1.63,0.95
SME_00006,2023-01-31,2,110346.55,13948.89,2.297,1.37,0.51
SME_00006,2023-03-02,3,119826.84,9493.98,2.181,2.0,0.84
SME_00006,2023-04-01,4,78441.46,4946.2,2.316,1.94,0.41
SME_00006,2023-05-01,5,82419.6,7724.24,1.925,0.88,0.5
SME_00006,2023-05-31,6,67748.28,11791.72,2.301,1.7,0.96
SME_00006,2023-06-30,7,100288.54,7980.09,2.212,1.04,0.64
SME_00006,2023-07-30,8,114403.59,5108.54,1.971,0.93,0.63
SME_00006,2023-08-29,9,103033.19,16117.43,2.255,1.67,0.54
SME_00006,2023-09-28,10,125788.54,21271.08,1.866,1.97,0.77
SME_00006,2023-10-28,11,93307.05,9358.46,2.395,2.22,0.96
SME_00006,2023-11-27,12,88624.94,7363.94,2.081,0.83,0.97
SME_00006,2023-12-27,13,70008.3,11697.87,2.171,1.76,0.51
SME_00006,2024-01-26,14,31013.8,3405.7,2.424,1.75,0.55
SME_00006,2024-02-25,15,30643.93,3682.26,1.858,1.84,0.71
SME_00006,2024-03-26,16,27048.87,4048.7,1.85,2.13,0.71
SME_00006,2024-04-25,17,36096.17,2253.01,2.181,1.35,0.72
SME_00006,2024-05-25,18,32798.77,3847.9,1.889,1.92,0.78
SME_00006,2024-06-24,19,26017.32,2123.44,2.251,1.03,0.81
SME_00006,2024-07-24,20,28689.57,1384.67,2.047,2.24,0.86
SME_00006,2024-08-23,21,47859.62,6666.74,2.167,2.47,0.82
SME_00006,2024-09-22,22,55233.96,6859.58,2.095,2.33,0.58
SME_00006,2024-10-22,23,48881.81,7607.13,2.252,1.09,0.87
SME_00006,2024-11-21,24,34483.77,3813.59,2.162,1.42,0.92
SME_00007,2023-01-01,1,71495.47,5889.94,2.062,1.92,0.51
SME_00007,2023-01-31,2,69970.88,3893.87,2.03,1.95,0.62
SME_00007,2023-03-02,3,78539.21,3200.35,2.061,1.5,0.52
SME_00007,2023-04-01,4,55656.9,8087.56,2.118,0.99,0.42
SME_00007,2023-05-01,5,75155.8,11354.44,1.964,1.79,0.88
SME_00007,2023-05-31,6,48132.97,5488.99,2.002,1.68,0.93
SME_00007,2023-06-30,7,33750.07,1954.62,2.123,1.5,0.61
SME_00007,2023-07-30,8,18831.13,3340.43,2.185,2.45,0.49
SME_00007,2023-08-29,9,15134.53,632.2,1.874,1.67,0.46
SME_00007,2023-09-28,10,25969.73,2993.66,2.123,1.44,0.61
SME_00007,2023-10-28,11,35359.23,1655.74,1.905,1.25,0.94
SME_00007,2023-11-27,12,33134.83,1770.97,1.886,1.49,0.93
SME_00007,2023-12-27,13,44622.27,2624.54,2.201,1.81,0.78
SME_00007,2024-01-26,14,26352.75,2654.47,1.845,1.16,0.76
SME_00007,2024-02-25,15,24930.64,4079.7,1.733,2.39,0.61
SME_00007,2024-03-26,16,32836.42,3059.1,1.915,2.02,0.83
SME_00007,2024-04-25,17,76423.35,3378.02,1.823,1.39,0.74
SME_00007,2024-05-25,18,37188.52,4394.27,2.059,2.02,0.54
SME_00007,2024-06-24,19,26898.87,3823.69,1.953,1.54,0.81
SME_00007,2024-07-24,20,30665.18,1382.75,1.776,1.85,0.91
SME_00007,2024-08-23,21,15134.53,1704.5,2.008,1.51,0.93
SME_00007,2024-09-22,22,14960.25,1694.72,1.667,1.18,0.67
SME_00007,2024-10-22,23,15134.53,2673.91,1.832,1.71,0.41
SME_00007,2024-11-21,24,26794.56,4391.22,2.105,1.13,0.96
SME_00008,2023-01-01,1,70852.88,10957.87,2.253,2.36,0.92
SME_00008,2023-01-31,2,53457.71,9582.06,1.901,1.32,0.78
SME_00008,2023-03-02,3,60149.38,3028.52,2.316,2.43,0.64
SME_00008,2023-04-01,4,94465.45,6751.8,1.798,1.2,0.82
SME_00008,2023-05-01,5,129343.09,10178.44,2.145,2.02,0.9
SME_00008,2023-05-31,6,135794.42,14034.35,2.257,1.31,0.53
SME_00008,2023-06-30,7,122121.49,5498.29,1.964,1.91,0.79
SME_00008,2023-07-30,8,98460.82,4952.34,1.967,1.77,0.59
SME_00008,2023-08-29,9,123675.38,5107.47,1.96,1.04,0.48
SME_00008,2023-09-28,10,112295.01,19569.16,2.023,1.7,0.84
SME_00008,2023-10-28,11,117450.08,10830.44,2.022,2.09,0.58
SME_00008,2023-11-27,12,124854.16,7040.92,1.948,1.46,0.43
SME_00008,2023-12-27,13,161389.53,18063.41,1.831,1.55,0.83
SME_00008,2024-01-26,14,165849.77,7982.94,1.824,1.43,0.52
SME_00008,2024-02-25,15,173853.96,13947.53,2.23,1.44,0.48
SME_00008,2024-03-26,16,189873.58,13901.12,2.191,0.89,0.56
SME_00008,2024-04-25,17,177222.81,24029.06,2.306,2.02,0.79
SME_00008,2024-05-25,18,162119.04,27285.16,1.823,1.08,0.65
SME_00008,2024-06-24,19,135374.62,9327.81,1.88,1.67,0.96
SME_00008,2024-07-24,20,98800.4,9373.76,1.813,2.0,0.57
SME_00008,2024-08-23,21,83080.04,11742.05,2.302,1.8,0.59
SME_00008,2024-09-22,22,63629.0,5310.92,1.864,2.39,0.78
SME_00008,2024-10-22,23,72166.14,11161.91,1.894,2.02,0.69
SME_00008,2024-11-21,24,73946.67,4894.26,2.226,1.73,0.42
SME_00009,2023-01-01,1,29980.47,1803.98,5.333,1.8,0.48
SME_00009,2023-01-31,2,40773.65,6498.56,4.794,0.97,0.47
SME_00009,2023-03-02,3,57088.39,5510.38,5.232,2.18,0.44
SME_00009,2023-04-01,4,61551.7,4877.41,4.814,0.82,0.61
SME_00009,2023-05-01,5,56349.89,8730.43,5.021,2.13,0.81
SME_00009,2023-05-31,6,48148.85,4126.47,5.664,1.56,0.48
SME_00009,2023-06-30,7,44430.03,7252.47,6.129,0.94,0.52
SME_00009,2023-07-30,8,43833.39,2644.76,6.14,2.27,0.72
SME_00009,2023-08-29,9,39836.13,6211.11,5.572,1.89,0.65
SME_00009,2023-09-28,10,38345.62,3388.64,5.12,2.11,0.82
SME_00009,2023-10-28,11,33673.89,1352.82,4.855,1.86,0.71
SME_00009,2023-11-27,12,31601.57,3187.73,6.135,1.66,0.63
SME_00009,2023-12-27,13,36877.45,4450.18,4.903,1.9,0.66
SME_00009,2024-01-26,14,38352.12,5890.66,6.288,1.82,0.84
SME_00009,2024-02-25,15,41355.67,6027.49,5.581,1.81,0.94
SME_00009,2024-03-26,16,38203.57,2587.68,4.913,1.97,0.89
SME_00009,2024-04-25,17,39630.35,6208.09,5.922,0.95,0.86
SME_00009,2024-05-25,18,42545.8,2770.17,5.145,1.47,0.59
SME_00009,2024-06-24,19,33835.75,2745.5,4.781,1.6,0.86
SME_00009,2024-07-24,20,28078.79,4512.67,6.123,1.51,0.84
SME_00009,2024-08-23,21,24811.55,3340.53,5.835,2.16,0.77
SME_00009,2024-09-22,22,23529.16,1457.98,6.178,1.87,0.88
SME_00009,2024-10-22,23,21188.75,1068.71,5.044,0.96,0.55
SME_00009,2024-11-21,24,27564.93,2875.97,6.268,2.28,0.83
SME_00010,2023-01-01,1,39878.5,6067.61,9.481,1.4,0.82
SME_00010,2023-01-31,2,50049.37,3040.43,8.915,0.84,0.49
SME_00010,2023-03-02,3,74982.86,9729.98,8.375,1.95,0.86
SME_00010,2023-04-01,4,99225.27,17394.93,9.415,2.15,0.82
SME_00010,2023-05-01,5,75012.62,4739.14,9.242,2.17,0.77
SME_00010,2023-05-31,6,77190.93,7830.06,7.233,1.36,0.65
SME_00010,2023-06-30,7,90924.59,5020.79,8.48,1.43,0.99
SME_00010,2023-07-30,8,86578.59,13909.8,8.277,2.5,0.71
SME_00010,2023-08-29,9,87948.39,6303.16,8.777,2.39,0.87
SME_00010,2023-09-28,10,62154.3,4863.13,7.918,0.92,0.57
SME_00010,2023-10-28,11,62727.97,8729.76,9.067,0.9,0.6
SME_00010,2023-11-27,12,45771.64,3677.48,7.431,1.42,0.58
SME_00010,2023-12-27,13,66190.8,6862.52,9.056,1.05,0.94
SME_00010,2024-01-26,14,75491.17,4632.38,7.653,0.98,0.59
SME_00010,2024-02-25,15,83730.02,12649.22,8.13,1.78,0.77
SME_00010,2024-03-26,16,85080.14,13202.89,9.03,1.77,0.8
SME_00010,2024-04-25,17,70530.66,4800.58,8.909,2.25,0.65
SME_00010,2024-05-25,18,77287.65,13694.19,7.714,1.51,0.63
SME_00010,2024-06-24,19,70350.13,7450.83,7.641,1.69,0.91
SME_00010,2024-07-24,20,74746.31,6171.47,9.218,2.35,0.44
SME_00010,2024-08-23,21,56014.07,3615.48,8.688,2.0,0.64
SME_00010,2024-09-22,22,72153.23,3281.84,9.466,2.04,0.56
SME_00010,2024-10-22,23,63219.71,5531.7,8.489,1.68,0.52
SME_00010,2024-11-21,24,65012.34,9670.24,7.923,1.79,0.56
SME_00011,2023-01-01,1,17265.14,2220.66,3.228,0.83,0.42
SME_00011,2023-01-31,2,14442.29,1530.29,2.988,1.79,0.64
SME_00011,2023-03-02,3,19145.27,2183.0,3.587,2.08,0.95
SME_00011,2023-04-01,4,20889.47,1461.48,3.626,2.34,0.64
SME_00011,2023-05-01,5,23703.97,3030.99,3.184,2.15,0.58
SME_00011,2023-05-31,6,22001.01,1423.4,3.346,1.76,0.9
SME_00011,2023-06-30,7,34400.14,2875.34,3.377,1.15,0.63
SME_00011,2023-07-30,8,31466.18,5036.34,3.021,2.18,0.57
SME_00011,2023-08-29,9,22813.99,3001.87,3.499,1.39,0.68
SME_00011,2023-09-28,10,30677.75,2961.24,3.745,1.34,0.51
SME_00011,2023-10-28,11,44326.92,6100.75,3.722,2.3,0.57
SME_00011,2023-11-27,12,35206.56,3651.72,3.547,2.36,0.6
SME_00011,2023-12-27,13,45892.21,4138.91,3.283,2.34,0.88
SME_00011,2024-01-26,14,46659.65,3456.56,3.128,1.4,0.95
SME_00011,2024-02-25,15,45235.44,6226.58,3.192,1.88,0.76
SME_00011,2024-03-26,16,45821.06,4917.36,3.742,0.84,0.83
SME_00011,2024-04-25,17,62582.6,8419.28,2.817,1.29,0.51
SME_00011,2024-05-25,18,54204.52,3435.38,3.528,1.21,0.68
SME_00011,2024-06-24,19,57114.24,8046.27,3.135,1.83,0.89
SME_00011,2024-07-24,20,40772.92,2168.77,3.511,1.35,0.47
SME_00011,2024-08-23,21,25864.72,4008.79,2.849,0.97,0.71
SME_00011,2024-09-22,22,27980.03,3426.21,3.53,1.24,0.91
SME_00011,2024-10-22,23,28435.34,4165.05,3.327,0.92,0.6
SME_00011,2024-11-21,24,35402.92,1849.74,3.786,1.19,0.78
SME_00012,2023-01-01,1,89155.62,6192.41,4.112,0.99,0.94
SME_00012,2023-01-31,2,79095.12,12470.06,3.991,0.91,0.53
SME_00012,2023-03-02,3,82789.52,6489.44,3.472,1.78,0.62
SME_00012,2023-04-01,4,70578.7,4212.02,3.828,1.46,0.84
SME_00012,2023-05-01,5,72400.79,7320.38,3.681,1.19,0.42
SME_00012,2023-05-31,6,61749.1,9798.13,3.591,1.96,0.97
SME_00012,2023-06-30,7,39283.07,3046.73,4.281,1.96,0.8
SME_00012,2023-07-30,8,49751.53,4958.35,4.18,2.01,0.57
SME_00012,2023-08-29,9,35513.61,1453.31,4.138,1.01,0.71
SME_00012,2023-09-28,10,52835.15,4600.44,3.609,1.61,1.0
SME_00012,2023-10-28,11,41914.05,5277.18,3.488,0.98,0.43
SME_00012,2023-11-27,12,39746.09,1717.17,3.71,1.53,0.51
SME_00012,2023-12-27,13,37198.49,6254.72,3.888,0.85,0.98
SME_00012,2024-01-26,14,41892.38,3481.75,3.731,1.28,0.84
SME_00012,2024-02-25,15,31225.04,1704.53,4.044,1.2,0.48
SME_00012,2024-03-26,16,31012.25,3408.86,4.132,1.27,0.57
SME_00012,2024-04-25,17,27977.49,3534.73,4.305,2.23,0.44
SME_00012,2024-05-25,18,29614.89,2510.97,3.382,2.41,0.99
SME_00012,2024-06-24,19,35711.26,5636.25,3.485,1.12,0.41
SME_00012,2024-07-24,20,23281.8,2274.04,4.242,2.34,0.48
SME_00012,2024-08-23,21,18723.7,2795.21,3.915,1.67,0.76
SME_00012,2024-09-22,22,14744.24,788.34,3.763,2.49,0.45
SME_00012,2024-10-22,23,14916.01,1724.11,3.872,1.78,0.91
SME_00012,2024-11-21,24,17042.52,1611.62,3.807,0.82,0.87
SME_00013,2023-01-01,1,70131.71,5413.43,8.447,1.06,0.99
SME_00013,2023-01-31,2,66091.3,5602.7,8.738,1.0,0.59
SME_00013,2023-03-02,3,67981.19,4753.5,9.9,1.04,0.66
SME_00013,2023-04-01,4,61820.74,7647.74,8.599,1.48,0.58
SME_00013,2023-05-01,5,67849.88,8304.55,9.9,1.07,0.57
SME_00013,2023-05-31,6,49517.11,3434.26,9.9,1.58,0.6
SME_00013,2023-06-30,7,46026.79,8123.06,8.761,2.11,0.62
SME_00013,2023-07-30,8,45105.35,7268.13,8.635,1.44,0.6
SME_00013,2023-08-29,9,48678.45,5596.69,8.873,1.09,0.99
SME_00013,2023-09-28,10,36137.8,3736.01,8.789,1.17,0.56
SME_00013,2023-10-28,11,14728.21,1527.34,8.91,1.36,0.44
SME_00013,2023-11-27,12,16651.03,2740.08,9.005,2.09,0.61
SME_00013,2023-12-27,13,12355.27,1698.87,9.9,1.29,0.55
SME_00013,2024-01-26,14,12849.48,1739.84,8.995,1.89,0.46
SME_00013,2024-02-25,15,16327.42,913.47,9.9,1.56,0.53
SME_00013,2024-03-26,16,44900.9,4017.45,9.877,0.96,0.97
SME_00013,2024-04-25,17,35878.56,5568.38,9.373,1.81,0.57
SME_00013,2024-05-25,18,38264.99,5459.53,9.9,1.74,0.54
SME_00013,2024-06-24,19,29283.3,1765.83,9.418,1.96,0.9
SME_00013,2024-07-24,20,13045.24,1129.22,9.109,2.22,0.93
SME_00013,2024-08-23,21,11499.27,1578.79,9.9,0.83,0.76
SME_00013,2024-09-22,22,11366.85,1390.98,9.54,2.07,0.66
SME_00013,2024-10-22,23,13505.87,1010.04,9.9,2.05,0.98
SME_00013,2024-11-21,24,35522.74,3311.26,8.606,2.48,0.77
SME_00014,2023-01-01,1,32486.61,5099.47,2.112,1.65,0.51
SME_00014,2023-01-31,2,18054.94,1043.52,1.946,1.66,0.82
SME_00014,2023-03-02,3,14451.91,621.3,1.959,1.52,0.95
SME_00014,2023-04-01,4,14596.77,1895.39,1.838,1.25,0.94
SME_00014,2023-05-01,5,21662.19,2482.07,1.727,2.22,0.52
SME_00014,2023-05-31,6,41163.93,3077.23,1.721,1.07,0.97
SME_00014,2023-06-30,7,107202.34,18610.92,1.743,0.81,0.76
SME_00014,2023-07-30,8,151341.72,16813.8,1.883,0.91,0.67
SME_00014,2023-08-29,9,109450.92,7785.62,1.801,1.4,0.59
SME_00014,2023-09-28,10,73326.66,12980.68,2.142,1.78,0.99
SME_00014,2023-10-28,11,95528.41,11960.89,1.733,1.97,0.52
SME_00014,2023-11-27,12,96443.15,8439.75,1.741,1.22,0.4
SME_00014,2023-12-27,13,86310.73,4496.13,1.661,1.75,1.0
SME_00014,2024-01-26,14,118650.57,7155.0,1.668,1.55,0.74
SME_00014,2024-02-25,15,77581.61,7713.68,1.79,2.36,0.43
SME_00014,2024-03-26,16,31405.48,2287.57,2.072,2.22,0.47
SME_00014,2024-04-25,17,16811.69,1371.82,1.697,1.3,0.75
SME_00014,2024-05-25,18,14056.15,2187.64,1.818,1.39,0.68
SME_00014,2024-06-24,19,65449.3,5612.4,1.945,1.46,0.83
SME_00014,2024-07-24,20,91751.14,5785.32,1.758,1.52,0.93
SME_00014,2024-08-23,21,107576.97,5858.52,1.873,1.51,0.76
SME_00014,2024-09-22,22,109701.15,16858.33,2.09,1.94,0.78
SME_00014,2024-10-22,23,106349.37,16653.21,2.136,1.64,0.84
SME_00014,2024-11-21,24,130889.23,12144.27,1.702,1.8,0.52
SME_00015,2023-01-01,1,182198.24,9482.06,2.979,1.83,0.6
SME_00015,2023-01-31,2,182939.56,18021.61,3.369,0.95,0.4
SME_00015,2023-03-02,3,178371.13,17774.87,3.958,2.21,0.46
SME_00015,2023-04-01,4,193121.83,21473.73,3.706,1.99,0.86
SME_00015,2023-05-01,5,123089.91,12934.55,3.621,1.83,0.44
SME_00015,2023-05-31,6,110831.1,5441.07,3.951,1.06,0.58
SME_00015,2023-06-30,7,82676.76,5407.48,3.433,1.77,0.67
